coin_id,ts_utc,price,market_cap,total_volume
bitcoin,2025-07-21 13:03:39,118226.36270082428,2352318387632.814,46413383688.91298
bitcoin,2025-07-21 14:03:21,118875.1323943068,2365278141210.7686,47328129916.37039
bitcoin,2025-07-21 15:03:52,118907.44932405776,2365771408301.04,148250671015.76462
bitcoin,2025-07-21 16:04:04,118470.9858152956,2358506394110.5034,48845706682.074554
bitcoin,2025-07-21 17:04:18,117852.03764116051,2344810511779.9395,49970265146.24549
bitcoin,2025-07-21 18:02:17,117818.72510894516,2342773869016.8013,50653176936.39678
bitcoin,2025-07-21 19:03:41,117269.27698732502,2335974785640.7,41003988721.77147
bitcoin,2025-07-21 20:02:39,116846.90847952665,2324934440065.209,52637583471.06481
bitcoin,2025-07-21 21:03:27,117092.16342200186,2330885441189.832,53509104462.50374
bitcoin,2025-07-21 22:04:17,117309.15824833814,2334242617835.907,53402929032.935905
bitcoin,2025-07-21 23:03:33,117496.57904142098,2337789804125.2573,50011099446.102104
bitcoin,2025-07-22 00:03:29,117446.14053106937,2337365497467.1313,49223144229.189545
bitcoin,2025-07-22 01:04:11,117169.46543349161,2331598443351.7246,48309332273.69365
bitcoin,2025-07-22 02:04:01,117844.24056015006,2345421079797.2983,46590273117.64476
bitcoin,2025-07-22 03:02:21,117174.28039401122,2332912973283.848,47891361218.56185
bitcoin,2025-07-22 04:04:10,117225.52740208808,2330599690522.987,41102780343.98674
bitcoin,2025-07-22 05:03:56,116847.62908057561,2324212054340.251,52535792947.979225
bitcoin,2025-07-22 06:03:41,117294.80043308112,2333481272880.8794,53393728141.036545
bitcoin,2025-07-22 07:03:38,117771.31657343563,2342084730258.3013,52935392566.72472
bitcoin,2025-07-22 08:03:30,118027.16228387582,2350309727258.067,54490144983.78335
bitcoin,2025-07-22 09:03:30,118278.90794993407,2352866753948.935,54813213648.26239
bitcoin,2025-07-22 10:04:00,118467.36885600089,2357154074687.4126,52289524581.5389
bitcoin,2025-07-22 11:03:11,118785.81023179082,2363339435924.525,51930706037.05526
bitcoin,2025-07-22 12:04:58,119182.68891245346,2371474338148.8267,55665516768.31294
bitcoin,2025-07-22 13:04:54,119359.72945155788,2374849592270.136,56340169387.71336
bitcoin,2025-07-22 14:06:05,118703.26838071554,2366083815299.978,53920146362.39967
bitcoin,2025-07-22 15:08:24,119002.50760809887,2366269358702.597,58424033710.60101
bitcoin,2025-07-22 16:09:17,119010.09713031474,2366015454531.0347,58723256460.77821
bitcoin,2025-07-22 17:07:48,118754.69781442013,2362736698697.927,53441965345.23298
bitcoin,2025-07-22 18:08:51,119184.9420945347,2370660243144.509,57236611176.194756
bitcoin,2025-07-22 19:04:42,119733.93468019101,2382752536000.834,58442957954.76253
bitcoin,2025-07-22 20:05:34,119302.45718960169,2374059446908.595,53158494408.131874
bitcoin,2025-07-22 21:08:20,119759.51655055693,2383795629722.5195,57605666182.815445
bitcoin,2025-07-22 22:08:49,119647.13610350236,2380504564742.1343,57848334284.00065
bitcoin,2025-07-22 23:04:07,119905.34412932584,2385889234395.798,58254437922.63227
bitcoin,2025-07-23 00:04:40,119958.86217219132,2386848684254.567,58893970475.00456
bitcoin,2025-07-23 01:06:09,119683.19953786394,2381316609300.682,59138285519.984505
